YEAR,STATE,ABBREV,CODE,ELECTORS,BALLOTS,ABSTAIN,BLANK,INVALID,VALID,PT,PMDB,PSDB,PFL,PP,PPrB,PPoB,PPR,PSB,PDT,PTB,PL,PPS,PV,PCdoB,PSC,PSOL,PRONA,PMN,PTC,PHS,PSDC,PSD,PTdoB,PAN,PRB,PSocL,PSolL,PRepP,PRenP,PRTB,PTraN,PTanN,PSTU,PCB,PCO,DEM,PR,PST  ,PSD  ,PGT  ,PSN  ,PRN  ,PDS ,PDC ,PTR ,PRS ,PCN ,PAS ,PD ,PLH ,PNT ,PSU ,PAP ,PS ,PEB ,PBM ,PMB,PH,PMC,PASART,PND,PRT,PNR,PJ,PN,PDI,PEN,PPL,PROS,PRP,PSL,PTN,SD
2014,Rondônia ,RO,11,1126502,885929,240573,56649,30805,798475,90970,207478,72551,,26938,,,,7718,91644,85372,,480,9485,9550,25938,6830,,997,1835,614,10065,20167,6130,,8890,,,,,280,,,244,,,10489,44869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1663,,28119,1157,846,598,26558
2014,Acre ,AC,12,506520,418772,87748,11851,7720,399201,97639,39751,36868,,31228,,,,27939,13026,4257,,3725,4358,18109,12321,637,,1346,94,6160,3632,19289,1555,,18505,,,,,,,,,,,23727,13953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310,693,2134,11963,118,848,5016
2014,Amazonas ,AM,13,2225630,1791817,433813,89383,44027,1658407,78725,208803,258835,,75554,,,,62455,9622,72047,,115373,2793,61162,2759,5560,,3835,12026,19680,1006,329925,289,,49644,,,,,91,,,1656,1258,,107209,123448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,644,656,11656,13777,3402,23579,938
2014,Roraima ,RR,14,299411,262194,37217,8145,15950,238099,10668,16096,39097,,18691,,,,8137,18733,1076,,793,4918,1084,13784,498,,11978,590,6868,4163,5239,1917,,28119,,,,,4508,,,152,,,596,20684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6688,1140,10473,1009,148,103,149
2014,Pará ,PA,15,5185950,4091840,1094110,214643,121148,3756049,589532,466727,480456,,83346,,,,87585,126457,132205,,88357,8749,20949,106752,222900,,8233,3387,5491,,419372,14940,,108646,,,,,404,,,8867,1031,,235185,153596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8113,4849,113028,7538,9249,1427,238678
2014,Amapá ,AP,16,455368,407846,47522,11056,10706,386084,41218,39944,10738,,21439,,,,23587,34799,14616,,4137,9123,11358,25501,7909,,82,1710,667,17004,15627,11171,,14584,,,,,6445,,,2173,,,6733,20278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1736,8056,20482,5130,,,9837
2014,Tocantins ,TO,17,996379,801084,195295,38622,29237,733225,18278,231191,4369,,82692,,,,59772,2400,1471,,1560,23761,308,30348,1770,,1399,226,8462,1298,66161,244,,47068,,,,,1161,,,,815,,81458,35864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620,169,2308,1500,2414,556,23582
2014,Maranhão ,MA,21,4495864,3433672,1062192,202315,157036,3074321,181248,475676,82420,,75936,,,,186119,227231,113253,,172782,185917,210574,27408,7501,,44459,37981,15424,97831,92596,100408,,148761,,,,,13953,,,9428,3637,,7575,74650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132982,5969,5167,93090,155329,3429,85587
2014,Piauí ,PI,22,2344476,1901414,443062,95755,72225,1733434,321864,199085,12623,,127721,,,,338209,99633,208861,,4370,6149,72131,1985,4431,,1237,3157,10243,895,164819,1504,,25906,,,,,,,,3492,1066,,1898,76776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2088,2812,2663,5465,499,577,31275
2014,Ceará ,CE,23,6268909,5007565,1261344,397908,242637,4367020,703532,655297,196987,,101611,,,,48274,145772,89655,,159098,53727,142236,11542,36747,,16242,21830,118789,17190,26981,55900,,129343,,,,,7437,,,11804,5852,,290261,279982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11588,6427,614852,7739,148005,23656,228664
2014,Rio Grande do Norte ,RN,24,2326583,1935105,391478,165088,189146,1580871,136613,240150,90653,,76144,,,,68724,51497,3326,,3579,6700,9118,5504,12321,,73531,4527,25781,11906,190891,744,,65708,,,,,1340,,,12551,,,120540,137263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9081,,186728,3228,7619,1940,23164
2014,Paraíba ,PB,25,2834782,2334522,500260,245880,151823,1936819,132973,441731,241038,,175699,,,,106305,84758,116547,,4846,4545,4808,64018,60910,,4773,792,6680,942,88719,15536,,36892,,,,,9834,,,,,851,107618,107525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4498,2706,7391,4197,7641,27567,64479
2014,Pernambuco ,PE,26,6353859,5304380,1049479,565036,256117,4483227,384699,236048,413047,,383674,,,,1238051,138156,465366,,40376,23681,129290,107856,17987,,8064,1445,80710,10189,104370,3930,,75133,,,,,18614,,,5436,7321,,92547,281583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,742,8175,7553,24617,97144,6556,70867
2014,Alagoas ,AL,27,1995153,1612496,382657,139167,88745,1384584,64621,189044,202250,,132864,,,,5935,95519,28291,,26139,2208,585,2682,11681,,8657,2551,2237,2194,3681,27780,,10114,,,,,179135,,,2046,,,10199,80360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746,85006,69104,553,,137402
2014,Sergipe ,SE,28,1453597,1239891,213706,106363,80702,1052826,158005,92624,47020,,4358,,,,71717,6685,133113,,7049,1969,37740,77016,8145,,3646,2235,1025,97,93455,659,,55067,,,,,3113,,,15926,1749,,55715,30689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3286,1077,50962,1328,1744,,85612
2014,Bahia ,BA,29,10179390,7818832,2360558,624497,547794,6646541,1393083,366891,405360,,587325,,,,262350,205969,242480,,46899,66057,288152,257158,53225,,6918,65047,0,4747,633536,12325,,270129,,,,,23392,,,9991,,,626590,242545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77126,9849,66030,62072,22483,116601,222211
2014,Minas Gerais ,MG,31,15236578,12186182,3050396,1209613,841524,10135045,1868998,891648,1410076,,791551,,,,545854,269937,345005,,160587,161784,137066,214878,56280,,152518,81528,201122,76019,621232,417235,,222242,,,,,5127,,,18648,15552,4390,513661,343798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19440,15855,78479,77427,84112,120020,212976
2014,Espírito Santo ,ES,32,2651621,2150248,501373,200025,155753,1794470,220112,186461,202551,,60455,,,,267008,209979,5172,,29124,78426,2268,5934,10889,,1650,6819,16982,3183,15187,3623,,82101,,,,,2774,,,522,1109,,158227,23598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5207,1393,70668,47327,3518,1273,70930
2014,Rio de Janeiro  ,RJ,33,12134443,9693862,2440581,929016,1091408,7673438,610538,1249836,252511,,644717,,,,282876,227702,237384,,39302,70945,94924,53633,531415,,31456,28546,128780,128335,574611,77477,,391912,,,,,114802,,,13881,7305,1467,109306,1055405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101516,5803,176910,53457,142426,14064,220196
2014,São Paulo ,SP,35,31979717,25736781,6242936,2426244,2048877,21261660,2956439,787168,4139629,,776506,,,,1192210,451466,701693,,515419,955373,213564,828477,429816,,33061,27927,167151,30083,936889,33906,,2240721,,,,,33397,,,33176,10853,5343,882582,1701667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176184,25138,134473,85054,91971,163321,501003
2014,Paraná ,PR,41,7861171,6536251,1324920,539065,331964,5665222,677272,747306,529384,,521540,,,,354244,43432,314102,,263128,273852,116641,493575,27320,,4312,11824,94179,77145,232398,6925,,67439,,,,,3873,,,5713,4590,,106606,279572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8195,6915,3215,7031,9792,205121,168581
2014,Santa Catarina ,SC,42,4855732,4058912,796820,399563,282814,3376535,488347,828201,276682,,375009,,,,152150,31984,5681,,82946,10435,89826,19276,38271,,6233,2215,3082,2250,558000,22688,,34498,,,,,756,,,8530,1740,,125568,151189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,892,2061,775,10785,824,3530,42111
2014,Rio Grande do Sul ,RS,43,8385229,6976843,1408386,756938,277842,5942063,1385264,981415,305961,,953534,,,,399303,507269,434855,,21341,18959,193099,31659,72383,,3507,2341,3042,494,198237,4215,,101543,,,,,4249,,,15671,2445,,154082,58324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7716,5257,12034,3764,11633,,48467
2014,Mato Grosso do Sul ,MS,50,1817511,1444320,373191,115560,51867,1276893,319786,355077,104356,,22981,,,,83313,65677,3050,,7293,3346,2376,12494,5844,,3093,7583,8446,1782,42153,3978,,36364,,,,,796,,,1727,,,68500,37589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,944,848,16671,9965,5179,6157,39525
2014,Mato Grosso ,MT,51,2188283,1686876,501407,147354,84910,1454612,136113,126218,171389,,94179,,,,261302,88693,5296,,947,0,3508,66426,88500,,6269,5013,4078,0,153992,3229,,15527,,,,,619,,,,,,3071,90859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6913,,109722,0,1018,213,11518
2014,Goiás ,GO,52,4329834,3514438,815396,282603,199075,3032760,280901,416210,920741,,170588,,,,34113,171024,125167,,94843,,35594,18314,5847,,,,,3434,265622,,,63516,,,,,4420,,,2104,,,28889,122335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2613,74601,110254,,1243,80387
2014,Distrito Federal ,DF,53,1895697,1674508,221189,128247,92198,1454063,206728,115873,166039,,13511,,,,92628,50104,24852,,61196,17204,6995,3183,19853,,30281,4888,7375,4052,94804,568,,75621,,,,,13670,,,4735,656,918,156655,47118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79811,21047,85017,6847,1043,803,39988
2014,BRASIL ,BRASIL,BRASIL,142384189,114906580,27477609,10106586,7504050,97295944,13554166,10791949,11073631,,6429791,,,,6267878,3469168,3914193,,1955689,2004464,1913015,2520421,1745470,,467777,338117,943068,509936,5967953,828876,,4423993,,,,,454190,,,188473,66979,12969,4085487,5635519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667983,141254,1977117,724825,808710,723182,2689701
2010,Rondônia ,RO,11,1078348,846351,231997,36806,43587,765958,118397,182554,19694,,116718,,,,65878,28332,75273,,43020,37791,5926,9975,2551,,2794,9257,4575,8984,,2946,,3628,319,,1437,,2397,790,,,,,681,22041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Acre ,AC,12,470545,363570,106975,9718,7726,346126,84233,43221,67231,,34203,,,,672,3773,2607,,4540,23424,35095,17149,0,,16062,717,283,1094,,90,,2799,165,,4737,,0,146,,,,,1421,2464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Amazonas ,AM,13,2028122,1621948,406174,49665,42094,1530188,176822,203941,16747,,263761,,,,71344,6601,95557,,3758,6549,88210,154960,2386,,89548,383,3039,199,,1704,,503,13483,,2473,,1629,1509,,1374,1313,,183595,138800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Roraima ,RR,14,271596,233616,37980,4175,6745,222696,8119,53631,24797,,15792,,,,8308,3321,6688,,284,2802,732,8368,649,,78,50,1221,56,,,,21820,8488,,6248,,4261,657,,,,,26903,19423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Pará ,PA,15,4763456,3754672,1008763,149386,182631,3422655,730094,835164,509234,,92704,,,,69926,147668,173510,,210820,32173,25456,162265,35038,,3971,949,1974,5824,,5469,,70355,,,15255,,2738,2472,,2592,,,135168,151836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Amapá ,AP,16,420331,357792,62539,6815,7368,343609,60297,32527,23182,,15234,,,,36740,42888,14625,,5668,8184,14250,7187,3741,,4305,6496,608,82,,,,6389,,,504,,22235,368,,619,7594,,20093,9793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Tocantins ,TO,17,947906,772644,175262,23886,20709,728049,60330,160579,58117,,44890,,,,40884,51177,6193,,52943,1302,843,11335,,,1367,,1213,739,,,,8369,638,,3728,,2858,89,,,,,82150,138305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Maranhão ,MA,21,4320748,3285100,1035648,159978,81770,3043352,215321,784941,334523,,124671,,,,154851,160871,125668,,74290,220821,62552,55774,5460,,5815,113626,14716,,,87878,,133517,72241,,5331,,7177,,,6764,6537,,115120,154887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Piauí ,PI,22,2261862,1813324,448538,79891,65428,1668005,300507,349854,56933,,111677,,,,164832,18846,177114,,3997,5002,100458,8079,2559,,1870,4584,1708,3472,,4014,,2450,2533,,2461,,2631,314,,2175,,,335033,4902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Ceará ,CE,23,5878066,4699435,1178631,287362,166610,4245463,687255,966320,350102,,188059,,,,606762,145222,114949,,9031,26594,230094,31734,125610,,7522,7609,123565,1947,,1298,,122324,17721,,10089,,8748,17284,,5809,1973,,34011,403831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Rio Grande do Norte ,RN,24,2245135,1877681,367434,140330,83976,1653375,249400,223713,122158,,4678,,,,186650,8169,3378,,51040,99141,16742,535,6585,,162182,1738,4203,2481,,,,1842,618,,2825,,2031,296,,693,3505,,274562,224210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Paraíba ,PB,25,2738313,2232261,506052,186929,92595,1952737,189494,662524,270713,,93324,,,,80682,133669,63792,,10380,3686,5463,79010,5555,,5012,808,4211,,,2013,,23409,3668,,5000,,334,3487,,2438,2752,882,169062,131369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Pernambuco ,PE,26,6256213,5041936,1214277,429748,161988,4450200,679581,162575,360707,,396399,,,,1092786,174191,353540,,12832,43256,134275,77335,8131,,18876,24980,72803,24514,,1622,,77293,35074,,15224,,51366,6898,,3082,3432,,334381,285047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Alagoas ,AL,27,2033483,1583844,449639,105310,63185,1415349,85359,254870,263762,,102066,,,,98318,17397,292107,,3475,2555,6245,21056,14816,,55728,409,3950,908,,92358,,12513,884,,2766,,4465,1205,,,749,,19653,57735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Sergipe ,SE,28,1425334,1184869,240465,91302,65078,1028489,236860,139944,15035,,6511,,,,107819,67320,4064,,26081,15841,6063,109720,1705,,3081,1097,1641,,,3985,,63495,1452,,1769,,1678,184,,4781,2269,,124641,81453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Bahia ,BA,29,9544368,7486735,2057633,461490,341234,6684011,1677907,633167,413937,,609564,,,,163135,429563,190364,,61657,142387,356089,178098,17622,,49978,32033,47209,10235,,22342,,252344,8053,,75648,,3384,9536,,3646,0,,968553,327560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Minas Gerais ,MG,31,14513934,11838442,2675492,889536,535571,10413335,1819658,1066139,1606882,,797270,,,,175585,486408,297387,,445628,451949,198723,223273,36288,,183811,188076,157119,34678,,223764,,101113,188413,,13519,,51842,33104,,8582,6632,1478,747812,868202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Espírito Santo ,ES,32,2521991,2083045,438946,139580,57194,1886271,164128,309306,106865,,65097,,,,396397,321211,113805,,55243,53290,4217,99211,9980,,12849,1582,11159,,,477,,11221,1228,,2552,,866,458,,,,,8405,136724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Rio de Janeiro  ,RJ,33,11584083,9572486,2011597,722753,839783,8009950,804050,1409589,320012,,396100,,,,483648,473202,143681,,157308,341661,278791,297028,320244,,86291,32485,80327,58502,,158069,,273437,59374,,27540,,120475,46464,,13345,6400,,419563,1202364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,São Paulo ,SP,35,30289723,25310267,4979456,1843840,1498984,21967443,4158508,460653,4169596,,1405043,,,,2103214,883108,676326,,725799,1716592,446087,628389,319147,,140248,126004,43753,11654,,19147,,281371,54686,,62839,,6107,53974,,23036,7773,4108,1512179,1928102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Paraná ,PR,41,7597999,6347623,1250376,411429,218573,5717621,700187,987388,681350,,417418,,,,243475,167378,242509,,356437,283215,77345,715784,13233,,33486,17871,72005,16732,,3690,,71173,5887,,20252,,3358,1228,,7092,3059,,338816,237253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Santa Catarina ,SC,42,4536718,3900064,636654,282998,145990,3471076,612077,867531,422979,,477786,,,,22088,97468,65976,,86895,44915,58696,13674,6750,,1913,2603,1570,465,,260,,37780,606,,3713,,999,,,4218,1169,,590610,48335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
